Record Length,Analog:7000,,,,
Sample Interval,CH1:0.0000010000000 CH2:0.0000010000000,,,,
Vertical Units,CH1:V CH2:V,,,,
Vertical Scale,CH1:0.05 CH2:0.50,,,,
Vertical Offset,CH1:-0.17100 CH2:-0.13000,,,,
Horizontal Units,us,,,,
Horizontal Scale,500,,,,
Model Number,T3DSO1104 ,,,,
Serial Number,T0101C18470265,,,,
Software Version,8.1.6.1.26,,,,
Source,CH1,CH2,,,
Second,Volt,Volt,,voltage,wavelength
0.000391,0.307,0.71,80.71,80.71,-0.197151906
0.000392,0.307,0.71,80.71,80.71,-0.197151906
0.000393,0.313,0.71,80.71,80.71,-0.197151906
0.000394,0.311,0.71,80.71,80.71,-0.197151906
0.000395,0.309,0.69,80.69,80.69,-0.19709236
0.000396,0.307,0.71,80.71,80.71,-0.197151906
0.000397,0.309,0.69,80.69,80.69,-0.19709236
0.000398,0.313,0.71,80.71,80.71,-0.197151906
0.000399,0.309,0.71,80.71,80.71,-0.197151906
0.0004,0.311,0.71,80.71,80.71,-0.197151906
0.000401,0.307,0.71,80.71,80.71,-0.197151906
0.000402,0.309,0.71,80.71,80.71,-0.197151906
0.000403,0.311,0.69,80.69,80.69,-0.19709236
0.000404,0.309,0.69,80.69,80.69,-0.19709236
0.000405,0.309,0.69,80.69,80.69,-0.19709236
0.000406,0.313,0.69,80.69,80.69,-0.19709236
0.000407,0.309,0.71,80.71,80.71,-0.197151906
0.000408,0.307,0.71,80.71,80.71,-0.197151906
0.000409,0.311,0.71,80.71,80.71,-0.197151906
0.00041,0.311,0.71,80.71,80.71,-0.197151906
0.000411,0.309,0.69,80.69,80.69,-0.19709236
0.000412,0.309,0.71,80.71,80.71,-0.197151906
0.000413,0.313,0.71,80.71,80.71,-0.197151906
0.000414,0.309,0.69,80.69,80.69,-0.19709236
0.000415,0.307,0.69,80.69,80.69,-0.19709236
0.000416,0.307,0.69,80.69,80.69,-0.19709236
0.000417,0.309,0.71,80.71,80.71,-0.197151906
0.000418,0.311,0.71,80.71,80.71,-0.197151906
0.000419,0.307,0.71,80.71,80.71,-0.197151906
0.00042,0.309,0.69,80.69,80.69,-0.19709236
0.000421,0.307,0.69,80.69,80.69,-0.19709236
0.000422,0.311,0.69,80.69,80.69,-0.19709236
0.000423,0.311,0.69,80.69,80.69,-0.19709236
0.000424,0.309,0.71,80.71,80.71,-0.197151906
0.000425,0.311,0.71,80.71,80.71,-0.197151906
0.000426,0.307,0.71,80.71,80.71,-0.197151906
0.000427,0.307,0.71,80.71,80.71,-0.197151906
0.000428,0.307,0.69,80.69,80.69,-0.19709236
0.000429,0.309,0.69,80.69,80.69,-0.19709236
