voltage,wavelength
77.5,-0.1892185
77.6,-0.1895085
77.7,-0.1897945
77.8,-0.1900645
77.9,-0.1903425
78,-0.1905995
78.1,-0.1908615
78.2,-0.1911235
78.3,-0.1913675
78.4,-0.1916265
78.5,-0.1918885
78.6,-0.1921575
78.7,-0.1924115
78.8,-0.1926705
78.9,-0.1929315
79,-0.1931715
79.1,-0.1934115
79.2,-0.1936345
79.3,-0.1938725
79.4,-0.1941245
79.5,-0.1943975
79.6,-0.1946645
79.7,-0.1949185
79.8,-0.1951665
79.9,-0.1954265
80,-0.1957125
80.1,-0.1959935
80.2,-0.1962595
80.3,-0.1964985
80.4,-0.1967485
80.5,-0.1970325
80.6,-0.1973045
80.7,-0.1975525
80.8,-0.1978015
80.9,-0.1980755
81,-0.1983905
81.1,-0.1986845
81.2,-0.1989445
81.3,-0.1992075
81.4,-0.1994835
81.5,-0.1998095
81.6,-0.2000805
81.7,-0.2003265
81.8,-0.2005865
81.9,-0.2008755
82,-0.2011845
82.1,-0.2014725
82.2,-0.2017235
82.3,-0.2019695
82.4,-0.2022375
82.5,-0.2025395
82.6,-0.2027955
82.7,-0.2030275
82.8,-0.2032705
82.9,-0.2035465
83,-0.2038465
83.1,-0.2041145
83.2,-0.2043585
83.3,-0.2045995
83.4,-0.2048655
83.5,-0.2051545
83.6,-0.2054205
83.7,-0.2056575
83.8,-0.2058985
83.9,-0.2061755
84,-0.2064735
84.1,-0.2067545
84.2,-0.2069975
84.3,-0.2072375
84.4,-0.2075125
84.5,-0.2078015
84.6,-0.2080745
84.7,-0.2083145
84.8,-0.2085625
84.9,-0.2088535
85,-0.2091455
85.1,-0.2094355
85.2,-0.2096685
85.3,-0.2099505
85.4,-0.2102395
85.5,-0.2105455
85.6,-0.2108335
85.7,-0.2110875
85.8,-0.2113485
85.9,-0.2116445
86,-0.2119445
86.1,-0.2122145
86.2,-0.2124555
86.3,-0.2127195
86.4,-0.2129925
86.5,-0.2132805
86.6,-0.2135315
86.7,-0.2137705
86.8,-0.2140225
86.9,-0.2143095
87,-0.2145805
87.1,-0.2148215
87.2,-0.2150675
87.3,-0.2153265
87.4,-0.2156075
87.5,-0.2158875
87.6,-0.2161355
87.7,-0.2163765
87.8,-0.2166425
87.9,-0.2169305
88,-0.2171945
88.1,-0.2174305
88.2,-0.2176705
88.3,-0.2179375
88.4,-0.2182205
88.5,-0.2184815
88.6,-0.2187245
88.7,-0.2189705
88.8,-0.2192445
88.9,-0.2195415
89,-0.2198135
89.1,-0.2200465
89.2,-0.2202935
89.3,-0.2205705
89.4,-0.2208695
89.5,-0.2211505
89.6,-0.2214095
89.7,-0.2216835
89.8,-0.2219855
89.9,-0.2223025
90,-0.2225945
90.1,-0.2228575
90.2,-0.2231185
90.3,-0.2234095
90.4,-0.2237105
90.5,-0.2239905
90.6,-0.2242485
90.7,-0.2245085
90.8,-0.2247965
90.9,-0.2251125
91,-0.2254015
91.1,-0.2256735
91.2,-0.2259295
91.3,-0.2262105
91.4,-0.2264995
91.5,-0.2267675
91.6,-0.2270155
91.7,-0.2272585
91.8,-0.2275345
91.9,-0.2278225
92,-0.2281005
92.1,-0.2283475
92.2,-0.2285895
92.3,-0.2288525
92.4,-0.2291145
92.5,-0.2293595
92.6,-0.2295725
92.7,-0.2297995
92.8,-0.2300575
92.9,-0.2303255
93,-0.2305875
93.1,-0.2308215
93.2,-0.2310485
93.3,-0.2313215
93.4,-0.2315985
93.5,-0.2318615
93.6,-0.2320935
93.7,-0.2323185
93.8,-0.2325895
93.9,-0.2328805
94,-0.2331685
94.1,-0.2334205
94.2,-0.2336665
94.3,-0.2339495
94.4,-0.2342575
94.5,-0.2345325
94.6,-0.2347835
94.7,-0.2350185
94.8,-0.2352955
94.9,-0.2355975
95,-0.2358935
95.1,-0.2361615
95.2,-0.2364115
95.3,-0.2367075
95.4,-0.2370055
95.5,-0.2372985
95.6,-0.2375585
95.7,-0.2378115
95.8,-0.2380915
95.9,-0.2383855
96,-0.2386745
96.1,-0.2389275
96.2,-0.2391735
96.3,-0.2394295
96.4,-0.2396905
96.5,-0.2399455
96.6,-0.2401785
96.7,-0.2404065
96.8,-0.2406515
96.9,-0.2409115
97,-0.2411665
97.1,-0.2414045
97.2,-0.2416315
97.3,-0.2418775
97.4,-0.2421325
97.5,-0.2423975
97.6,-0.2426415
97.7,-0.2428815
97.8,-0.2431305
97.9,-0.2434185
98,-0.2437105
98.1,-0.2439845
98.2,-0.2442615
98.3,-0.2445455
98.4,-0.2448485
98.5,-0.2451535
98.6,-0.2454325
98.7,-0.2456955
98.8,-0.2459735
98.9,-0.2462915
99,-0.2466185
99.1,-0.2469235
99.2,-0.2472115
99.3,-0.2475305
99.4,-0.2478795
99.5,-0.2482095
99.6,-0.2485125
99.7,-0.2488095
99.8,-0.2491285
99.9,-0.2494615
100,-0.2497805
100.1,-0.2500685
100.2,-0.2503525
100.3,-0.2506515
