step_points,gap,middle_points,middle_average,delta_w,fdelta_w,voltage_set
20897,58,20926,1549.956181,-0.0002475,-0.0687785,32.2
20955,60,20985,1549.955933,-0.0002625,-0.0690265,32.3
21015,58,21044,1549.95567,-0.0002655,-0.0692895,32.4
21073,60,21103,1549.955405,-0.0002575,-0.0695545,32.5
21133,59,21162,1549.955147,-0.0002495,-0.0698125,32.6
21192,62,21223,1549.954898,-0.000239,-0.0700615,32.7
21254,59,21283,1549.954659,-0.0002515,-0.0703005,32.8
21313,63,21344,1549.954407,-0.0002505,-0.0705525,32.9
21376,64,21408,1549.954157,-0.000246,-0.0708025,33
21440,65,21472,1549.953911,-0.000237,-0.0710485,33.1
21505,57,21533,1549.953674,-0.0002375,-0.0712855,33.2
21562,57,21590,1549.953437,-0.000228,-0.0715225,33.3
21619,60,21649,1549.953209,-0.000245,-0.0717505,33.4
21679,57,21707,1549.952963,-0.0002305,-0.0719965,33.5
21736,64,21768,1549.952733,-0.0002405,-0.0722265,33.6
21800,61,21830,1549.952493,-0.0002325,-0.0724665,33.7
21861,65,21893,1549.95226,-0.000235,-0.0726995,33.8
21926,63,21957,1549.952025,-0.0002275,-0.0729345,33.9
21989,64,22021,1549.951797,-0.000242,-0.0731625,34
22053,59,22082,1549.951556,-0.0002515,-0.0734035,34.1
22112,67,22145,1549.951304,-0.0002485,-0.0736555,34.2
22179,65,22211,1549.951056,-0.0002455,-0.0739035,34.3
22244,69,22278,1549.95081,-0.0002275,-0.0741495,34.4
22313,59,22342,1549.950583,-0.0002265,-0.0743765,34.5
22372,63,22403,1549.950356,-0.0002395,-0.0746035,34.6
22435,57,22463,1549.950117,-0.0002525,-0.0748425,34.7
22492,62,22523,1549.949864,-0.0002495,-0.0750955,34.8
22554,58,22583,1549.949614,-0.000244,-0.0753455,34.9
22612,62,22643,1549.94937,-0.0002335,-0.0755895,35
22674,59,22703,1549.949137,-0.0002595,-0.0758225,35.1
22733,60,22763,1549.948878,-0.000256,-0.0760815,35.2
22793,59,22822,1549.948621,-0.000259,-0.0763385,35.3
22852,60,22882,1549.948362,-0.0002475,-0.0765975,35.4
22912,61,22942,1549.948115,-0.000233,-0.0768445,35.5
22973,63,23004,1549.947882,-0.000231,-0.0770775,35.6
23036,56,23064,1549.947651,-0.00025,-0.0773085,35.7
23092,58,23121,1549.947401,-0.00026,-0.0775585,35.8
23150,66,23183,1549.947141,-0.0002565,-0.0778185,35.9
23216,60,23246,1549.946884,-0.000249,-0.0780755,36
23276,61,23306,1549.946635,-0.000245,-0.0783245,36.1
23337,60,23367,1549.946391,-0.0002645,-0.0785685,36.2
23397,63,23428,1549.946126,-0.0002785,-0.0788335,36.3
23460,61,23490,1549.945848,-0.0002805,-0.0791115,36.4
23521,61,23551,1549.945567,-0.000265,-0.0793925,36.5
23582,62,23613,1549.945302,-0.000248,-0.0796575,36.6
23644,62,23675,1549.945054,-0.0002565,-0.0799055,36.7
23706,60,23736,1549.944798,-0.0002685,-0.0801615,36.8
23766,64,23798,1549.944529,-0.0002735,-0.0804305,36.9
23830,64,23862,1549.944256,-0.000264,-0.0807035,37
23894,62,23925,1549.943991,-0.000253,-0.0809685,37.1
23956,62,23987,1549.943738,-0.0002565,-0.0812215,37.2
24018,63,24049,1549.943482,-0.0002615,-0.0814775,37.3
24081,59,24110,1549.943221,-0.0002765,-0.0817385,37.4
24140,61,24170,1549.942944,-0.0002645,-0.0820155,37.5
24201,59,24230,1549.94268,-0.0002545,-0.0822795,37.6
24260,62,24291,1549.942425,-0.0002385,-0.0825345,37.7
24322,61,24352,1549.942186,-0.0002445,-0.0827735,37.8
24383,59,24412,1549.941942,-0.000245,-0.0830175,37.9
24442,64,24474,1549.941697,-0.000253,-0.0832625,38
24506,60,24536,1549.941444,-0.000236,-0.0835155,38.1
24566,63,24597,1549.941208,-0.0002395,-0.0837515,38.2
24629,60,24659,1549.940968,-0.0002375,-0.0839915,38.3
24689,66,24722,1549.940731,-0.0002565,-0.0842285,38.4
24755,59,24784,1549.940475,-0.0002665,-0.0844845,38.5
24814,63,24845,1549.940208,-0.0002565,-0.0847515,38.6
24877,62,24908,1549.939952,-0.0002525,-0.0850075,38.7
24939,62,24970,1549.939699,-0.000245,-0.0852605,38.8
25001,61,25031,1549.939454,-0.0002515,-0.0855055,38.9
25062,62,25093,1549.939203,-0.0002515,-0.0857565,39
25124,61,25154,1549.938951,-0.0002525,-0.0860085,39.1
25185,62,25216,1549.938698,-0.000245,-0.0862615,39.2
25247,61,25277,1549.938454,-0.0002455,-0.0865055,39.3
25308,64,25340,1549.938208,-0.000246,-0.0867515,39.4
25372,62,25403,1549.937962,-0.0002595,-0.0869975,39.5
25434,66,25467,1549.937702,-0.000258,-0.0872575,39.6
25500,63,25531,1549.937445,-0.0002645,-0.0875145,39.7
25563,62,25594,1549.93718,-0.0002535,-0.0877795,39.8
25625,66,25658,1549.936927,-0.0002505,-0.0880325,39.9
25691,61,25721,1549.936676,-0.0002545,-0.0882835,40
25752,66,25785,1549.936421,-0.000258,-0.0885385,40.1
25818,63,25849,1549.936164,-0.0002575,-0.0887955,40.2
25881,64,25913,1549.935906,-0.0002585,-0.0890535,40.3
25945,63,25976,1549.935647,-0.0002535,-0.0893125,40.4
26008,66,26041,1549.935394,-0.0002655,-0.0895655,40.5
26074,62,26105,1549.935129,-0.000264,-0.0898305,40.6
26136,65,26168,1549.934865,-0.000276,-0.0900945,40.7
26201,61,26231,1549.934589,-0.000273,-0.0903705,40.8
26262,65,26294,1549.934316,-0.000258,-0.0906435,40.9
26327,62,26358,1549.934057,-0.00027,-0.0909025,41
26389,65,26421,1549.933787,-0.000269,-0.0911725,41.1
26454,63,26485,1549.933518,-0.000275,-0.0914415,41.2
26517,65,26549,1549.933243,-0.0002675,-0.0917165,41.3
26582,60,26612,1549.932976,-0.000261,-0.0919835,41.4
26642,66,26675,1549.932715,-0.0002625,-0.0922445,41.5
26708,62,26739,1549.932453,-0.000264,-0.0925065,41.6
26770,64,26802,1549.932189,-0.000265,-0.0927705,41.7
26834,63,26865,1549.931923,-0.000259,-0.0930365,41.8
26897,64,26929,1549.931664,-0.000245,-0.0932955,41.9
26961,63,26992,1549.93142,-0.00025,-0.0935395,42
27024,62,27055,1549.93117,-0.0002485,-0.0937895,42.1
27086,64,27118,1549.930921,-0.000262,-0.0940385,42.2
27150,61,27180,1549.930659,-0.0002525,-0.0943005,42.3
27211,66,27244,1549.930407,-0.0002525,-0.0945525,42.4
27277,61,27307,1549.930154,-0.0002435,-0.0948055,42.5
27338,65,27370,1549.92991,-0.0002675,-0.0950495,42.6
27403,61,27433,1549.929643,-0.0002685,-0.0953165,42.7
27464,65,27496,1549.929375,-0.0002595,-0.0955845,42.8
27529,65,27561,1549.929115,-0.0002385,-0.0958445,42.9
27594,73,27630,1549.928877,-0.0002465,-0.0960825,43
27667,61,27697,1549.92863,-0.0002525,-0.0963295,43.1
27728,67,27761,1549.928378,-0.0002655,-0.0965815,43.2
27795,60,27825,1549.928112,-0.0002595,-0.0968475,43.3
27855,66,27888,1549.927853,-0.00025,-0.0971065,43.4
27921,62,27952,1549.927602,-0.000248,-0.0973575,43.5
27983,63,28014,1549.927354,-0.0002425,-0.0976055,43.6
28046,61,28076,1549.927112,-0.0002695,-0.0978475,43.7
28107,64,28139,1549.926843,-0.000261,-0.0981165,43.8
28171,65,28203,1549.926581,-0.000259,-0.0983785,43.9
28236,63,28267,1549.926322,-0.000244,-0.0986375,44
